class,total,accepted,withheld,true_positive,precision,recall_including_withheld,f1_including_withheld,coverage
freshapples,315,302,13,302,1.0,0.9587301587301588,0.9789303079416531,0.9587301587301588
freshbanana,288,275,13,275,1.0,0.9548611111111112,0.9769094138543517,0.9548611111111112
freshoranges,279,278,1,278,1.0,0.996415770609319,0.9982046678635548,0.996415770609319
rottenapples,441,427,14,427,1.0,0.9682539682539683,0.9838709677419354,0.9682539682539683
rottenbanana,414,388,26,388,1.0,0.9371980676328503,0.9675810473815462,0.9371980676328503
rottenoranges,306,301,5,301,1.0,0.9836601307189542,0.9917627677100493,0.9836601307189542
